교육지원청명,유치원코드,유치원명,주소,특수유아수,특수교사수,특수학급수,특수아동보유여부,특수학급보유여부,특수교사보유여부,유아수,특수유아비율,특수교사당특수아동수,특수유아있지만학급없음,특수유아있지만교사없음,교사가없는특수아동
동부교육지원청,0764f8c8-364c-495b-9fbc-b389148b7b4f,서울신현초등학교병설유치원,서울특별시 중랑구 봉화산로 188,4,1,1,1,1,1,50,0.08,4.0,0,0,0.0
동부교육지원청,076db651-036b-4bee-80ba-09f0edb4a57a,서울신묵초등학교병설유치원,서울특별시 중랑구 동일로149길 46,0,0,0,0,0,0,33,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-ed83-b044-e053-0a32095ab044,새일문유치원,서울특별시 동대문구 장한로 165,0,0,0,0,0,0,48,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-ed85-b044-e053-0a32095ab044,서울중곡초등학교병설유치원,서울특별시 중랑구 면목로23길 20,0,0,0,0,0,0,51,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-ee33-b044-e053-0a32095ab044,백주유치원,서울특별시 동대문구 서울시립대로18길 19,0,0,0,0,0,0,42,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-efaa-b044-e053-0a32095ab044,예일유치원,서울특별시 동대문구 사가정로 190,0,0,0,0,0,0,124,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f053-b044-e053-0a32095ab044,서울면동초등학교병설유치원,서울특별시 중랑구 면목로57길 32,0,0,0,0,0,0,45,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f054-b044-e053-0a32095ab044,삼성유치원,서울특별시 동대문구 사가정로 65,0,0,0,0,0,0,198,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f1fc-b044-e053-0a32095ab044,서울전동초등학교병설유치원,서울특별시 동대문구 전농로16길 61,5,1,1,1,1,1,45,0.1111111,5.0,0,0,0.0
동부교육지원청,1ecec08c-f1fd-b044-e053-0a32095ab044,자람유치원,서울특별시 동대문구 고산자로 534,0,0,0,0,0,0,34,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f1fe-b044-e053-0a32095ab044,신일유치원,서울특별시 중랑구 면목로44길 55,0,0,0,0,0,0,30,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f1ff-b044-e053-0a32095ab044,아랑유치원,서울특별시 중랑구 중랑역로 47,0,0,0,0,0,0,61,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f29a-b044-e053-0a32095ab044,로뎅유치원,서울특별시 중랑구 봉화산로 90,0,0,0,0,0,0,31,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f3e9-b044-e053-0a32095ab044,영은유치원,서울특별시 중랑구 신내로19길 42,0,0,0,0,0,0,170,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f491-b044-e053-0a32095ab044,서울휘경유치원,서울특별시 동대문구 망우로6길 48,5,0,1,1,1,0,94,0.0531915,0.0,0,1,5.0
