교육지원청명,유치원코드,유치원명,주소,특수유아수,특수교사수,특수학급수,특수아동보유여부,특수학급보유여부,특수교사보유여부,유아수,특수유아비율,특수교사당특수아동수,특수유아있지만학급없음,특수유아있지만교사없음,교사가없는특수아동
성동광진교육지원청,1ecec08d-0e81-b044-e053-0a32095ab044,서울숭신초등학교병설유치원,서울특별시 성동구 마장로 161,4,1,1,1,1,1,62,0.0645161,4.0,0,0,0.0
성동광진교육지원청,1ecec08d-0f37-b044-e053-0a32095ab044,샬롬유치원,서울특별시 광진구 아차산로65길 65,0,0,0,0,0,0,34,0.0,0.0,0,0,0.0
성동광진교육지원청,1ecec08d-0f38-b044-e053-0a32095ab044,서울사근초등학교병설유치원,서울특별시 성동구 사근동11길 16,4,0,1,1,1,0,14,0.2857143,0.0,0,1,4.0
성동광진교육지원청,1ecec08d-0f39-b044-e053-0a32095ab044,서울옥정초등학교병설유치원,서울특별시 성동구 한림말길 43,0,0,0,0,0,0,44,0.0,0.0,0,0,0.0
성동광진교육지원청,1ecec08d-0f50-b044-e053-0a32095ab044,로사유치원,서울특별시 성동구 성덕정길 23,0,0,0,0,0,0,65,0.0,0.0,0,0,0.0
성동광진교육지원청,442ef88e-43d6-4048-a12d-ed742301b58a,서울동명초등학교병설유치원,서울특별시 성동구 마장로29길 29,0,0,0,0,0,0,22,0.0,0.0,0,0,0.0
성동광진교육지원청,74e1e803-e7d0-4cb0-a8d9-087fb5e7f80f,서울중광초등학교병설유치원,서울특별시 광진구 긴고랑로13길 59,3,0,1,1,1,0,52,0.0576923,0.0,0,1,3.0
성동광진교육지원청,907fd160-25a1-4048-8de4-27e545ebd656,서울금호초등학교병설유치원,서울특별시 성동구 무수막길 69,4,1,1,1,1,1,41,0.097561,4.0,0,0,0.0
성동광진교육지원청,c86bfe33-312b-465b-ae84-67bdc4e80ab3,서울경일초등학교병설유치원,서울특별시 성동구 뚝섬로 332,0,0,0,0,0,0,31,0.0,0.0,0,0,0.0
성동광진교육지원청,ccb6c0b0-a68a-4b86-8fe2-58f35a3c1952,서울용곡초등학교병설유치원,서울특별시 광진구 용마산로22길 82,0,0,0,0,0,0,30,0.0,0.0,0,0,0.0
성동광진교육지원청,db6bc219-29b5-48d3-af79-797756d3a7a6,서울신양초등학교병설유치원,서울특별시 광진구 능동로 42,0,0,0,0,0,0,46,0.0,0.0,0,0,0.0
성동광진교육지원청,f9b5d3fc-3b2c-4803-b37a-481ad5a11f4b,서울무학초등학교병설유치원,서울특별시 성동구 무학봉15길 21,0,0,0,0,0,0,39,0.0,0.0,0,0,0.0
